00C0|0041 
00C1|0041 
00C2|0041 
00C3|0041 
00C4|0041 
00C5|0041 
00C7|0043 
00C8|0045 
00C9|0045 
00CA|0045 
00CB|0045 
00CC|0049 
00CD|0049 
00CE|0049 
00CF|0049 
00D1|004E 
00D2|004F 
00D3|004F 
00D4|004F 
00D5|004F 
00D6|004F 
00D9|0055 
00DA|0055 
00DB|0055 
00DC|0055 
00DD|0059 
00E0|0061 
00E1|0061 
00E2|0061 
00E3|0061 
00E4|0061 
00E5|0061 
00E7|0063 
00E8|0065 
00E9|0065 
00EA|0065 
00EB|0065 
00EC|0069 
00ED|0069 
00EE|0069 
00EF|0069 
00F1|006E 
00F2|006F 
00F3|006F 
00F4|006F 
00F5|006F 
00F6|006F 
00F9|0075 
00FA|0075 
00FB|0075 
00FC|0075 
00FD|0079 
00FF|0079 
0100|0041 
0101|0061 
0102|0041 
0103|0061 
0104|0041 
0105|0061 
0106|0043 
0107|0063 
0108|0043 
0109|0063 
010A|0043 
010B|0063 
010C|0043 
010D|0063 
010E|0044 
010F|0064 
0112|0045 
0113|0065 
0114|0045 
0115|0065 
0116|0045 
0117|0065 
0118|0045 
0119|0065 
011A|0045 
011B|0065 
011C|0047 
011D|0067 
011E|0047 
011F|0067 
0120|0047 
0121|0067 
0122|0047 
0123|0067 
0124|0048 
0125|0068 
0128|0049 
0129|0069 
012A|0049 
012B|0069 
012C|0049 
012D|0069 
012E|0049 
012F|0069 
0130|0049 
0134|004A 
0135|006A 
0136|004B 
0137|006B 
0139|004C 
013A|006C 
013B|004C 
013C|006C 
013D|004C 
013E|006C 
0143|004E 
0144|006E 
0145|004E 
0146|006E 
0147|004E 
0148|006E 
014C|004F 
014D|006F 
014E|004F 
014F|006F 
0150|004F 
0151|006F 
0154|0052 
0155|0072 
0156|0052 
0157|0072 
0158|0052 
0159|0072 
015A|0053 
015B|0073 
015C|0053 
015D|0073 
015E|0053 
015F|0073 
0160|0053 
0161|0073 
0162|0054 
0163|0074 
0164|0054 
0165|0074 
0168|0055 
0169|0075 
016A|0055 
016B|0075 
016C|0055 
016D|0075 
016E|0055 
016F|0075 
0170|0055 
0171|0075 
0172|0055 
0173|0075 
0174|0057 
0175|0077 
0176|0059 
0177|0079 
0178|0059 
0179|005A 
017A|007A 
017B|005A 
017C|007A 
017D|005A 
017E|007A 
01A0|004F 
01A1|006F 
01AF|0055 
01B0|0075 
01CD|0041 
01CE|0061 
01CF|0049 
01D0|0069 
01D1|004F 
01D2|006F 
01D3|0055 
01D4|0075 
01D5|00DC 
01D6|00FC 
01D7|00DC 
01D8|00FC 
01D9|00DC 
01DA|00FC 
01DB|00DC 
01DC|00FC 
01DE|00C4 
01DF|00E4 
01E0|0226 
01E1|0227 
01E2|00C6 
01E3|00E6 
01E6|0047 
01E7|0067 
01E8|004B 
01E9|006B 
01EA|004F 
01EB|006F 
01EC|01EA 
01ED|01EB 
01EE|01B7 
01EF|0292 
01F0|006A 
01F4|0047 
01F5|0067 
01F8|004E 
01F9|006E 
01FA|00C5 
01FB|00E5 
01FC|00C6 
01FD|00E6 
01FE|00D8 
01FF|00F8 
0200|0041 
0201|0061 
0202|0041 
0203|0061 
0204|0045 
0205|0065 
0206|0045 
0207|0065 
0208|0049 
0209|0069 
020A|0049 
020B|0069 
020C|004F 
020D|006F 
020E|004F 
020F|006F 
0210|0052 
0211|0072 
0212|0052 
0213|0072 
0214|0055 
0215|0075 
0216|0055 
0217|0075 
0218|0053 
0219|0073 
021A|0054 
021B|0074 
021E|0048 
021F|0068 
0226|0041 
0227|0061 
0228|0045 
0229|0065 
022A|00D6 
022B|00F6 
022C|00D5 
022D|00F5 
022E|004F 
022F|006F 
0230|022E 
0231|022F 
0232|0059 
0233|0079 
0385|00A8 
0386|0391 
0388|0395 
0389|0397 
038A|0399 
038C|039F 
038E|03A5 
038F|03A9 
0390|03CA 
03AA|0399 
03AB|03A5 
03AC|03B1 
03AD|03B5 
03AE|03B7 
03AF|03B9 
03B0|03CB 
03CA|03B9 
03CB|03C5 
03CC|03BF 
03CD|03C5 
03CE|03C9 
03D3|03D2 
03D4|03D2 
0400|0415 
0401|0415 
0403|0413 
0407|0406 
040C|041A 
040D|0418 
040E|0423 
0419|0418 
0439|0438 
0450|0435 
0451|0435 
0453|0433 
0457|0456 
045C|043A 
045D|0438 
045E|0443 
0476|0474 
0477|0475 
04C1|0416 
04C2|0436 
04D0|0410 
04D1|0430 
04D2|0410 
04D3|0430 
04D6|0415 
04D7|0435 
04DA|04D8 
04DB|04D9 
04DC|0416 
04DD|0436 
04DE|0417 
04DF|0437 
04E2|0418 
04E3|0438 
04E4|0418 
04E5|0438 
04E6|041E 
04E7|043E 
04EA|04E8 
04EB|04E9 
04EC|042D 
04ED|044D 
04EE|0423 
04EF|0443 
04F0|0423 
04F1|0443 
04F2|0423 
04F3|0443 
04F4|0427 
04F5|0447 
04F8|042B 
04F9|044B 
1E00|0041 
1E01|0061 
1E02|0042 
1E03|0062 
1E04|0042 
1E05|0062 
1E06|0042 
1E07|0062 
1E08|00C7 
1E09|00E7 
1E0A|0044 
1E0B|0064 
1E0C|0044 
1E0D|0064 
1E0E|0044 
1E0F|0064 
1E10|0044 
1E11|0064 
1E12|0044 
1E13|0064 
1E14|0112 
1E15|0113 
1E16|0112 
1E17|0113 
1E18|0045 
1E19|0065 
1E1A|0045 
1E1B|0065 
1E1C|0228 
1E1D|0229 
1E1E|0046 
1E1F|0066 
1E20|0047 
1E21|0067 
1E22|0048 
1E23|0068 
1E24|0048 
1E25|0068 
1E26|0048 
1E27|0068 
1E28|0048 
1E29|0068 
1E2A|0048 
1E2B|0068 
1E2C|0049 
1E2D|0069 
1E2E|00CF 
1E2F|00EF 
1E30|004B 
1E31|006B 
1E32|004B 
1E33|006B 
1E34|004B 
1E35|006B 
1E36|004C 
1E37|006C 
1E38|1E36 
1E39|1E37 
1E3A|004C 
1E3B|006C 
1E3C|004C 
1E3D|006C 
1E3E|004D 
1E3F|006D 
1E40|004D 
1E41|006D 
1E42|004D 
1E43|006D 
1E44|004E 
1E45|006E 
1E46|004E 
1E47|006E 
1E48|004E 
1E49|006E 
1E4A|004E 
1E4B|006E 
1E4C|00D5 
1E4D|00F5 
1E4E|00D5 
1E4F|00F5 
1E50|014C 
1E51|014D 
1E52|014C 
1E53|014D 
1E54|0050 
1E55|0070 
1E56|0050 
1E57|0070 
1E58|0052 
1E59|0072 
1E5A|0052 
1E5B|0072 
1E5C|1E5A 
1E5D|1E5B 
1E5E|0052 
1E5F|0072 
1E60|0053 
1E61|0073 
1E62|0053 
1E63|0073 
1E64|015A 
1E65|015B 
1E66|0160 
1E67|0161 
1E68|1E62 
1E69|1E63 
1E6A|0054 
1E6B|0074 
